date,title,artist,rank,last_week,peak,weeks,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genres,genre_encoding
1960-04-18,Running Bear,Johnny Preston,91,81,1,27,1960,0.61,0.688,7.0,-9.308,1.0,0.0357,0.573,0.0,0.16399999999999998,0.7609999999999999,119.831,165893.0,['nashville sound'],
1960-11-07,Finger Poppin' Time,Hank Ballard And The Midnighters,69,57,7,26,1960,,,,,,,,,,,,,[],
1960-02-15,Mack The Knife,Bobby Darin,76,59,1,26,1960,0.5489999999999999,0.529,3.0,-12.290999999999999,0.0,0.10800000000000001,0.76,0.0,0.20600000000000002,0.46399999999999997,82.755,184333.0,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'vocal jazz']",rock
1960-05-30,Sweet Nothin's,Brenda Lee,63,32,4,24,1960,,,,,,,,,,,,,[],
1960-07-11,Sixteen Reasons,Connie Stevens,61,40,3,24,1960,0.33899999999999997,0.406,10.0,-8.955,1.0,0.0319,0.865,1.1e-05,0.11,0.619,109.78299999999999,118133.0,['deep adult standards'],
1960-10-31,I'm Sorry,Brenda Lee,85,63,1,23,1960,,,,,,,,,,,,,[],
1960-05-30,He'll Have To Go,Jim Reeves,54,37,2,23,1960,,,,,,,,,,,,,[],
1960-03-28,You Got What It Takes,Marv Johnson,94,65,10,22,1960,0.762,0.433,5.0,-8.937000000000001,1.0,0.187,0.14300000000000002,0.0,0.11800000000000001,0.39399999999999996,122.074,203145.0,"['pop r&b', 'pop rap', 'r&b']",r&b
1960-10-17,"Please Help Me, I'm Falling",Hank Locklin,90,69,8,22,1960,0.552,0.336,7.0,-10.712,1.0,0.0311,0.828,0.0,0.324,0.5529999999999999,105.479,141467.0,['nashville sound'],
1960-04-04,El Paso,Marty Robbins,97,86,1,22,1960,0.654,0.452,2.0,-9.709,1.0,0.03,0.835,2.8899999999999998e-05,0.16,0.691,106.662,259307.0,"['cowboy western', 'nashville sound']",
1960-01-04,Primrose Lane,Jerry Wallace With The Jewels,74,60,8,21,1960,0.607,0.358,8.0,-15.975999999999999,0.0,0.0318,0.78,0.0015300000000000001,0.08199999999999999,0.486,120.20200000000001,147440.0,['deep adult standards'],
