weeks,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
27,1960,0.61,0.688,7,-9.308,1,0.0357,0.573,0,0.164,0.761,119.831,165893
26,1960,,,,,,,,,,,,
26,1960,0.549,0.529,3,-12.291,0,0.108,0.76,0,0.206,0.464,82.755,184333
24,1960,,,,,,,,,,,,
24,1960,0.339,0.406,10,-8.955,1,0.0319,0.865,1.10E-05,0.11,0.619,109.783,118133
23,1960,,,,,,,,,,,,
23,1960,,,,,,,,,,,,
22,1960,0.762,0.433,5,-8.937,1,0.187,0.143,0,0.118,0.394,122.074,203145
22,1960,0.552,0.336,7,-10.712,1,0.0311,0.828,0,0.324,0.553,105.479,141467
22,1960,0.654,0.452,2,-9.709,1,0.03,0.835,2.89E-05,0.16,0.691,106.662,259307
21,1960,0.607,0.358,8,-15.976,0,0.0318,0.78,0.00153,0.082,0.486,120.202,147440
21,1960,0.579,0.872,0,-6.126,1,0.159,0.159,0,0.0935,0.761,76.214,235560
21,1960,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,142693
21,1960,0.268,0.194,9,-11.304,0,0.0458,0.935,9.01E-05,0.0982,0.063,181.353,149046
21,1960,0.614,0.817,5,-8.873,1,0.0446,0.773,2.06E-05,0.13,0.54,92.019,126109
20,1960,0.466,0.125,11,-20.428,0,0.0372,0.863,0,0.121,0.338,111.43,182027
20,1960,0.66,0.878,1,-4.482,0,0.0324,0.0898,6.87E-06,0.338,0.729,89.995,221293
20,1960,0.598,0.426,5,-7.659,1,0.0354,0.553,0,0.318,0.292,119.922,175534
20,1960,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73E-06,0.248,0.478,177.765,303373
20,1960,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,207427
20,1960,,,,,,,,,,,,
20,1960,0.584,0.589,5,-11.203,1,0.0718,0.463,1.53E-05,0.069,0.842,172.484,154296
19,1960,0.478,0.9,5,-3.16,1,0.0471,0.0376,0.0524,0.101,0.676,90.959,270760
19,1960,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,233720
19,1960,0.483,0.58,10,-5.677,1,0.0442,0.222,2.32E-06,0.0946,0.208,85.221,183893
19,1960,0.668,0.239,5,-13.181,1,0.0332,0.871,0,0.299,0.719,106.937,146933
19,1960,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,204014
19,1960,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,216880
18,1960,,,,,,,,,,,,
18,1960,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69E-06,0.178,0.852,156.892,155040
18,1960,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52E-06,0.0589,0.716,126.975,198440
