danceability0,danceability,energy,loudness,speechiness,acousticness,liveness,valence,year
0.58,0.58,0.52,0.76,0.08,0.53,0.16,0.55,1960
0.58,0.58,0.59,0.82,0.08,0.41,0.22,0.56,1961
0.55,0.55,0.53,0.76,0.08,0.44,0.17,0.54,1962
0.62,0.62,0.61,0.79,0.12,0.37,0.15,0.59,1963
0.58,0.58,0.62,0.8,0.07,0.4,0.18,0.55,1964
0.61,0.61,0.63,0.81,0.1,0.32,0.18,0.53,1965
0.57,0.57,0.57,0.78,0.09,0.37,0.14,0.58,1966
0.61,0.61,0.55,0.75,0.08,0.32,0.17,0.61,1967
0.62,0.62,0.6,0.8,0.12,0.23,0.16,0.61,1968
0.57,0.57,0.63,0.79,0.08,0.25,0.18,0.6,1969
0.61,0.61,0.51,0.73,0.1,0.38,0.17,0.57,1970
0.65,0.65,0.58,0.78,0.11,0.36,0.14,0.57,1971
0.57,0.57,0.63,0.81,0.11,0.29,0.18,0.57,1972
0.6,0.6,0.56,0.76,0.11,0.39,0.18,0.63,1973
0.6,0.6,0.59,0.79,0.13,0.28,0.2,0.52,1974
0.64,0.64,0.58,0.78,0.07,0.32,0.13,0.61,1975
0.62,0.62,0.6,0.77,0.08,0.26,0.14,0.65,1976
0.6,0.6,0.6,0.8,0.08,0.36,0.17,0.58,1977
0.63,0.63,0.57,0.8,0.1,0.33,0.2,0.52,1978
0.65,0.65,0.61,0.78,0.09,0.26,0.13,0.62,1979
0.66,0.66,0.58,0.75,0.08,0.34,0.16,0.63,1980
0.61,0.61,0.58,0.77,0.08,0.31,0.15,0.57,1981
0.61,0.61,0.6,0.78,0.08,0.28,0.15,0.59,1982
0.66,0.66,0.68,0.81,0.1,0.18,0.16,0.62,1983
0.65,0.65,0.67,0.82,0.07,0.19,0.21,0.6,1984
0.66,0.66,0.67,0.81,0.09,0.22,0.15,0.63,1985
0.6,0.6,0.64,0.77,0.08,0.27,0.15,0.58,1986
0.64,0.64,0.66,0.8,0.1,0.26,0.14,0.64,1987
0.7,0.7,0.62,0.8,0.1,0.24,0.15,0.57,1988
0.61,0.61,0.61,0.79,0.09,0.29,0.16,0.52,1989
0.67,0.67,0.62,0.8,0.1,0.25,0.15,0.58,1990
0.63,0.63,0.6,0.79,0.11,0.34,0.14,0.54,1991
0.63,0.63,0.68,0.83,0.11,0.15,0.17,0.61,1992
0.67,0.67,0.6,0.78,0.1,0.18,0.16,0.58,1993
0.65,0.65,0.64,0.81,0.12,0.17,0.14,0.54,1994
0.58,0.58,0.6,0.78,0.11,0.25,0.14,0.53,1995
0.63,0.63,0.65,0.82,0.09,0.29,0.18,0.54,1996
0.62,0.62,0.65,0.81,0.1,0.25,0.16,0.54,1997
0.63,0.63,0.6,0.79,0.1,0.26,0.16,0.55,1998
0.65,0.65,0.66,0.84,0.12,0.18,0.17,0.57,1999
0.63,0.63,0.69,0.84,0.13,0.16,0.15,0.53,2000
0.67,0.67,0.65,0.84,0.13,0.23,0.14,0.53,2001
0.64,0.64,0.71,0.87,0.12,0.18,0.15,0.58,2002
0.64,0.64,0.65,0.84,0.18,0.18,0.17,0.51,2003
0.66,0.66,0.66,0.85,0.15,0.2,0.15,0.54,2004
0.67,0.67,0.67,0.86,0.18,0.13,0.18,0.61,2005
0.71,0.71,0.69,0.86,0.16,0.12,0.19,0.61,2006
0.65,0.65,0.67,0.86,0.14,0.17,0.14,0.51,2007
0.63,0.63,0.68,0.87,0.11,0.2,0.16,0.53,2008
0.61,0.61,0.67,0.86,0.12,0.16,0.16,0.48,2009
0.66,0.66,0.73,0.88,0.13,0.16,0.18,0.55,2010
0.67,0.67,0.71,0.87,0.14,0.17,0.18,0.57,2011
0.67,0.67,0.68,0.86,0.12,0.18,0.16,0.56,2012
0.66,0.66,0.62,0.85,0.13,0.21,0.14,0.5,2013
0.66,0.66,0.65,0.86,0.1,0.18,0.16,0.5,2014
0.66,0.66,0.71,0.86,0.09,0.19,0.18,0.6,2015
0.7,0.7,0.6,0.83,0.15,0.19,0.17,0.51,2016
0.7,0.7,0.63,0.85,0.18,0.18,0.12,0.52,2017
0.7,0.7,0.62,0.86,0.15,0.17,0.13,0.46,2018
0.68,0.68,0.55,0.85,0.17,0.32,0.13,0.45,2019
0.71,0.71,0.59,0.85,0.16,0.27,0.16,0.51,2020
0.65,0.65,0.59,0.84,0.12,0.31,0.16,0.52,2021
0.68,0.68,0.63,0.84,0.12,0.24,0.17,0.55,2022
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,RING1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,RING2
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,RING3
1,1,1,1,1,1,1,1,RING4
